C,Story,Emotion,Val
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Boredom,Boredom,0.57475571200364
0.0031087293306962674,Boredom,Fear,0.004210695528706879
0.0031087293306962674,Boredom,Happiness,0.3214305576866262
0.0031087293306962674,Boredom,Joy,0.010402381453980054
0.0031087293306962674,Boredom,Pride,0.04824856205255097
0.0031087293306962674,Boredom,Sadness,0.01035670102174167
0.0031087293306962674,Boredom,Shame,0.03059539025275428
0.0031087293306962674,Fear,Boredom,0.0015029969429245316
0.0031087293306962674,Fear,Fear,0.7275720692059997
0.0031087293306962674,Fear,Happiness,0.006181774859249299
0.0031087293306962674,Fear,Joy,0.018592714002228887
0.0031087293306962674,Fear,Pride,0.010239725096179488
0.0031087293306962674,Fear,Sadness,0.16440850035462232
0.0031087293306962674,Fear,Shame,0.07150221953879583
0.0031087293306962674,Fear,Boredom,0.0015250441248747
0.0031087293306962674,Fear,Fear,0.7254667912299803
0.0031087293306962674,Fear,Happiness,0.006246429443308888
0.0031087293306962674,Fear,Joy,0.01848223305250753
0.0031087293306962674,Fear,Pride,0.010262454129245117
0.0031087293306962674,Fear,Sadness,0.16628480209576663
0.0031087293306962674,Fear,Shame,0.07173224592431689
0.0031087293306962674,Fear,Boredom,0.0014978922366182365
0.0031087293306962674,Fear,Fear,0.7280641607711426
0.0031087293306962674,Fear,Happiness,0.00616672103126314
0.0031087293306962674,Fear,Joy,0.018618751039251338
0.0031087293306962674,Fear,Pride,0.010234419446489135
