C,Story,Emotion,Val
0.014081246921758776,Boredom,Boredom,0.9991482691304968
0.014081246921758776,Boredom,Fear,0.0001337953364568691
0.014081246921758776,Boredom,Happiness,2.472040499205777e-06
0.014081246921758776,Boredom,Joy,0.00018795848954876928
0.014081246921758776,Boredom,Pride,0.0001449762773207969
0.014081246921758776,Boredom,Sadness,9.293375212873145e-05
0.014081246921758776,Boredom,Shame,0.0002895949735489407
0.014081246921758776,Boredom,Boredom,0.9991482691304968
0.014081246921758776,Boredom,Fear,0.0001337953364568691
0.014081246921758776,Boredom,Happiness,2.472040499205777e-06
0.014081246921758776,Boredom,Joy,0.00018795848954876928
0.014081246921758776,Boredom,Pride,0.0001449762773207969
0.014081246921758776,Boredom,Sadness,9.293375212873145e-05
0.014081246921758776,Boredom,Shame,0.0002895949735489407
0.014081246921758776,Boredom,Boredom,0.9991482691304968
0.014081246921758776,Boredom,Fear,0.0001337953364568691
0.014081246921758776,Boredom,Happiness,2.472040499205777e-06
0.014081246921758776,Boredom,Joy,0.00018795848954876928
0.014081246921758776,Boredom,Pride,0.0001449762773207969
0.014081246921758776,Boredom,Sadness,9.293375212873145e-05
0.014081246921758776,Boredom,Shame,0.0002895949735489407
0.014081246921758776,Boredom,Boredom,0.9991482691304968
0.014081246921758776,Boredom,Fear,0.0001337953364568691
0.014081246921758776,Boredom,Happiness,2.472040499205777e-06
0.014081246921758776,Boredom,Joy,0.00018795848954876928
0.014081246921758776,Boredom,Pride,0.0001449762773207969
0.014081246921758776,Boredom,Sadness,9.293375212873145e-05
0.014081246921758776,Boredom,Shame,0.0002895949735489407
0.014081246921758776,Boredom,Boredom,0.9991482691304968
0.014081246921758776,Boredom,Fear,0.0001337953364568691
0.014081246921758776,Boredom,Happiness,2.472040499205777e-06
0.014081246921758776,Boredom,Joy,0.00018795848954876928
0.014081246921758776,Boredom,Pride,0.0001449762773207969
0.014081246921758776,Boredom,Sadness,9.293375212873145e-05
0.014081246921758776,Boredom,Shame,0.0002895949735489407
0.014081246921758776,Boredom,Boredom,0.9991482691304968
0.014081246921758776,Boredom,Fear,0.0001337953364568691
0.014081246921758776,Boredom,Happiness,2.472040499205777e-06
0.014081246921758776,Boredom,Joy,0.00018795848954876928
0.014081246921758776,Boredom,Pride,0.0001449762773207969
0.014081246921758776,Boredom,Sadness,9.293375212873145e-05
0.014081246921758776,Boredom,Shame,0.0002895949735489407
0.014081246921758776,Boredom,Boredom,0.9991482691304968
0.014081246921758776,Boredom,Fear,0.0001337953364568691
0.014081246921758776,Boredom,Happiness,2.472040499205777e-06
0.014081246921758776,Boredom,Joy,0.00018795848954876928
0.014081246921758776,Boredom,Pride,0.0001449762773207969
0.014081246921758776,Boredom,Sadness,9.293375212873145e-05
0.014081246921758776,Boredom,Shame,0.0002895949735489407
0.014081246921758776,Boredom,Boredom,0.9991482691304968
0.014081246921758776,Boredom,Fear,0.0001337953364568691
0.014081246921758776,Boredom,Happiness,2.472040499205777e-06
0.014081246921758776,Boredom,Joy,0.00018795848954876928
0.014081246921758776,Boredom,Pride,0.0001449762773207969
0.014081246921758776,Boredom,Sadness,9.293375212873145e-05
0.014081246921758776,Boredom,Shame,0.0002895949735489407
0.014081246921758776,Boredom,Boredom,0.9991482691304968
0.014081246921758776,Boredom,Fear,0.0001337953364568691
0.014081246921758776,Boredom,Happiness,2.472040499205777e-06
0.014081246921758776,Boredom,Joy,0.00018795848954876928
0.014081246921758776,Boredom,Pride,0.0001449762773207969
0.014081246921758776,Boredom,Sadness,9.293375212873145e-05
0.014081246921758776,Boredom,Shame,0.0002895949735489407
