C,Story,Emotion,Val
0.003,Boredom,Boredom,0.4688067904277363
0.003,Boredom,Fear,0.012243747787381486
0.003,Boredom,Happiness,0.30215968554110234
0.003,Boredom,Joy,0.033319030637483454
0.003,Boredom,Pride,0.07725971615211052
0.003,Boredom,Sadness,0.02658468299985479
0.003,Boredom,Shame,0.07962634645433095
0.003,Fear,Boredom,0.005798636865340278
0.003,Fear,Fear,0.41336177604539537
0.003,Fear,Happiness,0.019737154089051412
0.003,Fear,Joy,0.043613054700279444
0.003,Fear,Pride,0.029692165336795227
0.003,Fear,Sadness,0.3086683742454144
0.003,Fear,Shame,0.17912883871772392
0.003,Happiness,Boredom,0.13608701493210287
0.003,Happiness,Fear,0.013300800590631734
0.003,Happiness,Happiness,0.2780617176104985
0.003,Happiness,Joy,0.10180539019260698
0.003,Happiness,Pride,0.24855127306149302
0.003,Happiness,Sadness,0.022077105070447724
0.003,Happiness,Shame,0.20011669854221917
0.003,Joy,Boredom,0.011054885969579369
0.003,Joy,Fear,0.04057299285626974
0.003,Joy,Happiness,0.11400590498229873
0.003,Joy,Joy,0.3220242942087057
0.003,Joy,Pride,0.27027840470646025
0.003,Joy,Sadness,0.02283449974562255
0.003,Joy,Shame,0.2192290175310639
0.003,Pride,Boredom,0.015177150066686807
0.003,Pride,Fear,0.025293362084523218
0.003,Pride,Happiness,0.16313418704657928
0.003,Pride,Joy,0.2931932640977891
0.003,Pride,Pride,0.2627669034985901
0.003,Pride,Sadness,0.022732515310766786
0.003,Pride,Shame,0.21770261789506445
0.003,Sadness,Boredom,0.01618359776346749
0.003,Sadness,Fear,0.25885411518411966
0.003,Sadness,Happiness,0.03146050784610511
0.003,Sadness,Joy,0.022885585460247906
0.003,Sadness,Pride,0.02812651733304071
0.003,Sadness,Sadness,0.47112037338764573
0.003,Sadness,Shame,0.1713693030253736
0.003,Shame,Boredom,0.00881170804135906
0.003,Shame,Fear,0.37044919259242626
0.003,Shame,Happiness,0.027357889154833875
0.003,Shame,Joy,0.07352290483388141
0.003,Shame,Pride,0.04302534194305652
0.003,Shame,Sadness,0.263158936861087
0.003,Shame,Shame,0.21367402657335582
