C,Story,Emotion,Val
0.012039807227851468,Boredom,Boredom,0.9991641960199147
0.012039807227851468,Boredom,Fear,0.00013273034442479875
0.012039807227851468,Boredom,Happiness,2.2788809123060907e-06
0.012039807227851468,Boredom,Joy,0.0001764741582257475
0.012039807227851468,Boredom,Pride,0.00013851843061414896
0.012039807227851468,Boredom,Sadness,8.830788068051531e-05
0.012039807227851468,Boredom,Shame,0.0002974942852279353
0.012039807227851468,Fear,Boredom,0.0004709431069843141
0.012039807227851468,Fear,Fear,0.9804515700580435
0.012039807227851468,Fear,Happiness,0.0005257979318517303
0.012039807227851468,Fear,Joy,0.0006490845838807368
0.012039807227851468,Fear,Pride,0.0007389790116266951
0.012039807227851468,Fear,Sadness,0.005141439369731626
0.012039807227851468,Fear,Shame,0.012022185937881524
0.012039807227851468,Happiness,Boredom,0.0036135050915098057
0.012039807227851468,Happiness,Fear,0.00040053279059031743
0.012039807227851468,Happiness,Happiness,0.9456861064991079
0.012039807227851468,Happiness,Joy,0.0007213371376915311
0.012039807227851468,Happiness,Pride,0.020131286241473673
0.012039807227851468,Happiness,Sadness,0.0007259744592262776
0.012039807227851468,Happiness,Shame,0.02872125778040019
0.012039807227851468,Joy,Boredom,0.00046904972313109903
0.012039807227851468,Joy,Fear,0.0013194988325248732
0.012039807227851468,Joy,Happiness,0.0012906322452628848
0.012039807227851468,Joy,Joy,0.726734709387642
0.012039807227851468,Joy,Pride,0.2318805819176884
0.012039807227851468,Joy,Sadness,0.0011313318015354302
0.012039807227851468,Joy,Shame,0.0371741960922155
0.012039807227851468,Pride,Boredom,0.0024186074141226027
0.012039807227851468,Pride,Fear,0.0035504361261591757
0.012039807227851468,Pride,Happiness,0.007484734590448041
0.012039807227851468,Pride,Joy,0.076181929360807
0.012039807227851468,Pride,Pride,0.841135556632919
0.012039807227851468,Pride,Sadness,0.0038301821381903503
0.012039807227851468,Pride,Shame,0.06539855373735363
0.012039807227851468,Sadness,Boredom,0.00019345388678240877
0.012039807227851468,Sadness,Fear,0.004905868866219555
0.012039807227851468,Sadness,Happiness,0.0003068671818662181
0.012039807227851468,Sadness,Joy,0.0006480855785375122
0.012039807227851468,Sadness,Pride,0.0007531652759457901
0.012039807227851468,Sadness,Sadness,0.9797237320672232
0.012039807227851468,Sadness,Shame,0.013468827143425163
0.012039807227851468,Shame,Boredom,0.00011899516917625727
0.012039807227851468,Shame,Fear,0.02404739296770017
0.012039807227851468,Shame,Happiness,3.558348535628779e-05
0.012039807227851468,Shame,Joy,7.002957594297742e-05
