Emotion,Suddenness,Goal_relevance,Conduciveness,Power
Boredom,0.0,2.6645352591003756e-16,0.5000000000000001,0.6000000000000001
Fear,0.7972601369931503,1,0.0,0.0
Happiness,0.0,0.6680268000000005,0.8340134000000002,0.9491998947368422
Joy,0.8022098895055247,1,1.0,0.0
Pride,0.5076640098099325,1,1.0,0.14560629285046423
Sadness,0.19849007549622522,1,0.0,0.0
Shame,0.7970725216234198,1,0.0,0.4354153601194486
