C,Story,Emotion,Val
0.0033259502896597674,Boredom,Boredom,0.48483848734293433
0.0033259502896597674,Boredom,Fear,0.009154215223643016
0.0033259502896597674,Boredom,Happiness,0.32365568353585866
0.0033259502896597674,Boredom,Joy,0.020741212676316883
0.0033259502896597674,Boredom,Pride,0.07387091788666526
0.0033259502896597674,Boredom,Sadness,0.021890710797117196
0.0033259502896597674,Boredom,Shame,0.06584877253746493
0.0033259502896597674,Fear,Boredom,0.003643401777469252
0.0033259502896597674,Fear,Fear,0.4670193132181943
0.0033259502896597674,Fear,Happiness,0.011866017263622023
0.0033259502896597674,Fear,Joy,0.038569660397986316
0.0033259502896597674,Fear,Pride,0.025045507575602206
0.0033259502896597674,Fear,Sadness,0.29297515174250244
0.0033259502896597674,Fear,Shame,0.16088094802462358
0.0033259502896597674,Happiness,Boredom,0.1569033708505845
0.0033259502896597674,Happiness,Fear,0.009285085953149653
0.0033259502896597674,Happiness,Happiness,0.3000650155762057
0.0033259502896597674,Happiness,Joy,0.06619145791978803
0.0033259502896597674,Happiness,Pride,0.24698213620246015
0.0033259502896597674,Happiness,Sadness,0.018122530415091938
0.0033259502896597674,Happiness,Shame,0.20245040308271983
0.0033259502896597674,Joy,Boredom,0.00897856264802578
0.0033259502896597674,Joy,Fear,0.03910490806351094
0.0033259502896597674,Joy,Happiness,0.0808013993640818
0.0033259502896597674,Joy,Joy,0.3334649711446884
0.0033259502896597674,Joy,Pride,0.28062694479077316
0.0033259502896597674,Joy,Sadness,0.02127941182303152
0.0033259502896597674,Joy,Shame,0.23574380216588797
0.0033259502896597674,Pride,Boredom,0.011871293225740695
0.0033259502896597674,Pride,Fear,0.024465189958700645
0.0033259502896597674,Pride,Happiness,0.12336387084324558
0.0033259502896597674,Pride,Joy,0.3104796784274921
0.0033259502896597674,Pride,Pride,0.27139970520638274
0.0033259502896597674,Pride,Sadness,0.0231862505137899
0.0033259502896597674,Pride,Shame,0.2352340118246489
0.0033259502896597674,Sadness,Boredom,0.009690010115714943
0.0033259502896597674,Sadness,Fear,0.22867787725176114
0.0033259502896597674,Sadness,Happiness,0.02380006633718274
0.0033259502896597674,Sadness,Joy,0.01616363858961981
0.0033259502896597674,Sadness,Pride,0.02230461256301986
0.0033259502896597674,Sadness,Sadness,0.54954369467683
0.0033259502896597674,Sadness,Shame,0.14982010046587108
0.0033259502896597674,Shame,Boredom,0.00748772521216987
0.0033259502896597674,Shame,Fear,0.3869141422829053
0.0033259502896597674,Shame,Happiness,0.020852288980377085
0.0033259502896597674,Shame,Joy,0.07257206746772683
0.0033259502896597674,Shame,Pride,0.057780001014473004
0.0033259502896597674,Shame,Sadness,0.2290544333116069
0.0033259502896597674,Shame,Shame,0.22533934173074086
0.003066946119790264,Boredom,Boredom,0.5244700128736617
0.003066946119790264,Boredom,Fear,0.0071675547570337434
0.003066946119790264,Boredom,Happiness,0.32363041388248404
0.003066946119790264,Boredom,Joy,0.018117386630159306
0.003066946119790264,Boredom,Pride,0.06281723064025291
0.003066946119790264,Boredom,Sadness,0.014724571650192945
0.003066946119790264,Boredom,Shame,0.04907282956621501
0.003066946119790264,Fear,Boredom,0.0028593625005977623
0.003066946119790264,Fear,Fear,0.5497842483247426
0.003066946119790264,Fear,Happiness,0.011879290761565396
0.003066946119790264,Fear,Joy,0.03226789757106998
0.003066946119790264,Fear,Pride,0.019127025888979278
0.003066946119790264,Fear,Sadness,0.25991857429208787
0.003066946119790264,Fear,Shame,0.1241636006609571
0.003066946119790264,Happiness,Boredom,0.17098017325299011
0.003066946119790264,Happiness,Fear,0.010739074035022262
0.003066946119790264,Happiness,Happiness,0.3224998186825916
0.003066946119790264,Happiness,Joy,0.07662958999480625
0.003066946119790264,Happiness,Pride,0.2402675251327561
0.003066946119790264,Happiness,Sadness,0.018209981061279495
0.003066946119790264,Happiness,Shame,0.16067383784055433
0.003066946119790264,Joy,Boredom,0.010256307172820483
